Query,JD
Sales Representative,"LutherSales.com is a leading provider of household durable goods and services through our Luxury Made Easy financing program.?? Our customer base consists of Government, Military, Fortune 500 and Private sector employees who qualify for financing based on their job and not theri credit.<BR>\r<BR>\rWhen you combine our flexible plan options with our lineup of Name Brand products, including Ashley, Broyhill, Sony, Apple and Vacationwiser.com, just to name a few, closing the sale has never been easier.?? With World Class Marketing and Customer Service support, your opportunity to develop a portfolio of repeat custmers has never been greater.<BR>\r<BR>\r<STRONG>LutherSales.com is seeking an aggressive individual to join our sales team on a part-time basis.<BR>\r<BR>\r</STRONG>Responsibilities:<BR>\r<BR>\r<UL>\r    <LI>Develop new business through direct contact with potential customers\r    <LI>Heavy outbound calling\r    <LI>Sell the benifits of our Luxury Made Easy program\r    <LI>Assist custoemrs in shossing products to fit theri needs </LI>\r</UL>"
Sales Representative,<P align=center>Full-Time position for leading food distributor. <BR>\r-<BR>\rRepresentative to service establish territory of supermarkets??and independent retailers. <BR>\r-<BR>\rExperience a must. <BR>\r-<BR>\rCompetitive commission??and benefit package. <BR>\r-<BR>\rEmail resume to?? <A href="mailto:jnichols@haddonhouse.com">jnichols@haddonhouse.com</A></P>
Physical Therapist,"SavaSeniorCare affiliated facilities' goal is to offer residents and staff a close-knit, family environment coupled with the resources you'd expect from an industry leader. As we continue to build the clinical expertise of our in-house rehab teams, we invite you to consider joining us. The SavaSeniorCare 183 affiliated facilities in 19 states strive to provide compassionate short- and long-term care. It's our business-the only thing we do. \r\n \r\n We offer a wealth of resources to support our rehab teams including generous, flexible benefits packages, CEUs and continuing education tuition reimbursement. Consider all we have to offer: in-house rehab teams with clinical support, flexible schedules, modality programs, and mentorship. \r\n \r\n \r\n\r\n<b>Summary</b> \r\n Physical Therapist (PT) evaluates and treats residents and patients with temporary or long term physical disabilities to relieve pain, restore function, and promote healing by applying the therapeutic properties of exercise, heat, ultrasound, massage and other forms of treatment. \r\n \r\n\r\n<b>Essential Duties & Responsibilities</b> \r\n <ul><li>Under a physician's order, performs the following within scope of practice and federal guidelines: \r\n </li><li>Evaluates, plans and administers treatment to patients with problems related to neuromuscular and musculoskeletal systems. \r\n </li><li>Administers and interprets tests and measurements for muscle strength, coordination, range of motion, and respiratory and circulatory efficiency. \r\n </li><li>Provides direct resident treatment in accordance with an established plan of care. \r\n </li><li>Instructs patients, families, and caregivers in the care and use of wheelchairs, braces, canes, crutches and other devices. \r\n </li><li>Maintains patient records. \r\n </li><li>Devises special tools and treatment for the specific needs of patients. \r\n </li><li>Conducts home assessments as appropriate to ensure discharge of residents to a safe environment. \r\n </li><li>Completes required forms and documents in accordance with company policy and state and/or federal regulations. \r\n </li><li>Performs other duties as assigned. \r\n </li></ul> \r\n \r\n\r\n<b>Supervisory Responsibilities</b> \r\n May provide onsite supervision to Physical Therapist Assistants, Rehab Aides, and provisional physical therapists per state practice guidelines. \r\n  \r\n  \r\n \r\n\r\n<b>Qualifications</b> \r\n <ul><li>Bachelor of Science or Master of Science degree in Physical Therapy. \r\n </li><li>One (1) year of clinical experience preferred. \r\n </li><li>Current license to practice Physical Therapy issued by the State, if required by state law. \r\n </li></ul> \r\n \r\n\r\n<b>Physical Demands & Environment</b> \r\n Shift work may be required. Employee is frequently required to stand, walk, use hands or fingers, reach with hands and arms, feel, talk and hear. Employee is occasionally exposed to blood or other body fluids, fumes or airborne particles and toxic or caustic chemicals. In compliance with applicable, law, reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions of the position. \r\n \r\n Don't miss your opportunity to win free CEUs and National Convention Registration Giveaways just for registering at www.savasweepstakes.com. SavaSeniorCare affiliated entities are Equal Opportunity Employers."
Receptionist,"Busy medical practice in Williamsburg seeking motivated candidate for full time position. Must be highly organized, and able to handle multiple tasks."
Project Manager,"<b>Responsibilities:</b> Kforce has a Contract or Contract-to-Perm opportunity for an experienced Project Manager with a Richfield, Minnesota client. Our client needs a Project Specialist for an Application Development project.\r\n\r\nFunctions:\r\n<UL><LI>Execute the goals and milestones associated with application development projects</li>\r\n<li>Support the Project Managers in the analysis, design, construction, and implementation of assigned projects including resource planning / tracking and budgets</li>\r\n<li>Usage of a standardized project management methodology to guide all projects in a consistent, organized, and reliable manner</li>\r\n</ul>\r\n\r\nKforce (Nasdaq:KFRC) is a professional staffing and solutions firm providing flexible and permanent staffing solutions in the skill areas of technology, finance & accounting, clinical research and healthcare. Backed by approximately our associates and consultants on assignment, Kforce is committed to ""Great People = Great Results"" for our valued clients and candidates. Kforce operates with 65 offices located throughout the United States and two offices in the Philippines.\r\n\r\nJob Ref#: 2312~EQG~1140148T1~99"
Physical Therapist,"<BR><BR><strong>Facility: </strong> ??Saint Luke's Home Care & Hospice\r\n\r\n<strong>Department: </strong> ??HHC ANDERSON HOME CARE\r\n\r\n<strong>Schedule: </strong> ??Full Time\r\n\r\n<strong>Shift: </strong> ??Day\r\n\r\n<strong>Hours: </strong> ??8-5\r\n\r\n<strong>Job Details: </strong> ?? <ul> <li>Registration/Licensure/Certification</li> <li>1 year of experience required</li> <li>The Physical Therapist plans, designs and implements individualized physical therapy treatment programs for the patient in his/her home as prescribed by the physician and in compliance with a??Physical Therapy Standards of Practice in the home health settinga??; regulations as established by the state and Medicare, JCAHO standards, policies and procedures of Saint Lukea??s Health System Home Care and Hospice. The physical therapist supervises treatment provided by the physical therapy assistant and recommends patient care interventions to other members of the health care team to contribute to the rehabilitation process</P> </li> </ul> <div><strong>Effective August 1, 2011, Saint Luke's Health System no longer hires individuals who use tobacco products. By submitting this Application for Employment, you represent and agree (1) you do not currently use any tobacco product and (2) if employed by the System, you will not during that employment use any tobacco product. Use of a tobacco product during employment with the System is grounds for immediate termination of employment.</strong></div> <div><strong>EEO</strong></div>"
Financial Analyst,"<p><b><span>????</span></b>&nbsp;</p>\r<p>We have an exciting opportunity for the next step in your career!<br>\r<br>\rSome of the key contributions of the role include:<br>\rCreate analyses with appropriate controls to assist with the performance management of the overall portfolio.</p>\r<p>Assist with the preparation for the??monthly and quarterly??Asset Management meetings and review the results of operations.</p>\r<p>Ensure the timely preparation and approval of annual Operating and Capital Budgets.</p>\r<p>Participate in the creation of internal procedures to ensure effective management of assets.</p>\r<p>Assist in preparing Monthly Variance Reports and Budget Re-projections as needed.</p>\r<p>Compile, review and analyze monthly reporting. </p>\r<p>Assist with audit compilations and responses. </p>\r<p><span>Special ad hoc projects on an as needed basis.?? </span></p>\r<p>&nbsp;</p>"
Project Manager,"<b>Responsibilities:</b> Our client has an opportunity for a strong Project Manager for the coordination and completion of projects in Medley, Florida.\r\n\r\nMain Duties:\r\n<ul><li>Oversees all aspects of projects</li>\r\n<li>Sets deadlines, assigns responsibilities, and monitors and summarizes progress of project</li>\r\n<li>Prepares reports for upper management regarding status of project</li>\r\n<li>Supports critical business strategies by managing the development, and implementation, of business initiatives</li>\r\n<li>Leads multiple Category 2, 3 and 4 projects and oversees developers to ensure that specifications are met</li>\r\n<li>Responsible for gathering and analyzing business requirements, documentation and completion of all project phases from design, development, and testing (system integration, user acceptance) to deployment</li>\r\n</ul>\r\n\r\nKforce (Nasdaq:KFRC) is a professional staffing and solutions firm providing flexible and permanent staffing solutions in the skill areas of technology, finance & accounting, clinical research and healthcare. Backed by approximately our associates and consultants on assignment, Kforce is committed to ""Great People = Great Results"" for our valued clients and candidates. Kforce operates with 65 offices located throughout the United States and two offices in the Philippines.\r\n\r\nJob Ref#: 2312~EQG~1133057T1~99"
Java Developer,"Java Developers needed for a 6+ month contract with a downtown financial services organization.\r\n\r\nEssential Duties and Responsibilities:\r\n???\tDevelop and document technical requirements and solution\r\n???\tDevelop software to fulfill technical and functional requirements\r\n???\tDesign and develop software according to best practices and internal standards\r\n???\tParticipate in daily meetings and regular planning and review sessions (usually using Scrum/Agile methodology)\r\n???\tInteract with cross-functional teams to ensure complete delivery of web applications\r\n???\tInteract with product owner(s) to ensure accurate requirements fulfillment\r\n???\tParticipate in design and code reviews\r\n???\tComplete development and integration tasks on time\r\n\r\nSkills and Qualifications:\r\n???\tExtensive Experience with complex data sets\r\n???\tStrong written and verbal communications skills\r\n???\tStrong analytical and problem solving skills\r\n???\tAbility to work well as part of a team\r\n???\tFamiliarity with Agile Software Development Methodologies\r\n???\tKnowledge of traditional SDLC\r\n???\tExperience with software development management tools\r\n???\tStrong technical skills in Java/J2EE\r\n???\tKnowledge of business application security considerations\r\n???\tFamiliarity with AJAX techniques and modern JavaScript libraries\r\n???\tFamiliarity with open source frameworks such as Spring\r\n???\tFamiliarity with HTTP, SOAP and RESTful protocols\r\n???\tStrong user skills in various operating systems\r\n???\tStrong object-oriented software design and development skills\r\n???\tExperienced in SQL and database design\r\n\r\nExperience:\r\na?ก้Minimum 5 years of experience in object-oriented software design and development.\r\na?ก้Minimum 3 years of experience in business application design and development."
Java Developer,"<b>Responsibilities:</b> The Java Developer analyzes, designs, implements and supports web-related applications support of company's internet/intranet strategy and maintains e-commerce or business-related applications. These positions can be filled in either near Minneapolis, Minnesota or Brookfield, Wisconsin.\r\n\r\nKforce (Nasdaq:KFRC) is a professional staffing and solutions firm providing flexible and permanent staffing solutions in the skill areas of technology, finance & accounting, clinical research and healthcare. Backed by approximately our associates and consultants on assignment, Kforce is committed to ""Great People = Great Results"" for our valued clients and candidates. Kforce operates with 65 offices located throughout the United States and two offices in the Philippines.\r\n\r\nJob Ref#: 2312~EQG~1141198T1~99"
Receptionist,"<p>Join one of the most respected companies in the equipment leasing and commercial finance industry!</p>\r<p>Celtic Leasing seeks out the best of the best to join our team.a?? If you are looking for a positive, supportive, conscientious work environment, you have come to the right place.a?? Our entire staff works as a team, supportive of each other to facilitate the highest level of service for our customers, vendors, and business partners.a??</p>\r<p><a href=""http://www.celticleasing.com/"">http://www.celticleasing.com/</a> </p>\r<p>-------------------------------------------------------------------------------- </p>\r<p>Receptionist Qualifications: </p>\r<p>a?ก้ At least 1 year experience required<br />\ra?ก้ Days/Hours: Monday - Friday 7:30am-4:30pm <br />\ra?ก้ Welcomes visitors by greeting them, in person or on the telephone; answering or referring inquiries and directing them appropriately; notifies company personnel of visitor arrival. <br />\ra?ก้ Filing; photocopying; receiving faxes; date-stamping documents. <br />\ra?ก้ Pickup, receiving, preparing, and delivering mail and packages; maintaining postage meter. <br />\ra?ก้ Provides office supplies and services by maintaining inventory; placing orders; arranging for equipment repairs; servicing equipment. <br />\ra?ก้ Maintains safe and clean reception area by complying with procedures, rules, and regulations. </p>\r<p>&nbsp;</p>\r<p>CELTIC LEASING IS AN EQUAL OPPORTUNITY EMPLOYER</p>\r<br />"
Maintenance Technician,"<p>Recruiting for a Machine Maintenance Technician for an extruded plastics manufacturer; must have 5 yearsa?? experience in a manufacturing environment.<span>?? </span><br />\r<br />\rKnowledge of electrical, hydraulic & pneumatics as well as Fanuc robot controls; must have mechanical ability and current work history in machine maintenance.<span>?? </span><br />\r<br />\rThis is a 2<sup>nd</sup> shift position; 3 days 12 hours/4 days 12 hours, 7pm a?? 7am </p>"
Senior Accountant,"<P style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">Our client, a rapidly growing??firm is seeking a Senior Accountant to join their team on a??permanent basis. The Senior Accountant will support finance and upper management. The ideal candidate will have a working knowledge of ERP based accounting systems (Oracle, Hyperion, SAP, PeopleSoft, Peachtree, Solomon, QuickBooks, or Timberline) as well as Excel and Access. Duties for the Senior Accountant position includes heavy bank and account reconciliation work, month-end and year-end financial statement preparation, budgeting forecasting, financial analysis and other special projects required by CFO.</P>\r\n<P style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">??</P>\r\n<P style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">Please submit your resume to <A href=""mailto:amber.vlach@ajilon.com"">amber.vlach@ajilon.com</A> for immediate consideration.</P>\r\n<P style=""MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px"">??</P>"
Cashier,"</strong>\r\n\r\n<p style='margin: 0px'><strong>SUMMARY</strong>\r\nThe primary purpose of this position is to provide excellent customer service to people shopping in Rite Aid stores. The incumbent is required to perform all tasks in a safe manner consistent with corporate policies and state and federal laws.</p><p style='margin: 0px'></p><p style='margin: 0px'><strong>ESSENTIAL DUTIES AND RESPONSIBILITIES</strong>\r\nThe associate is responsible for the functions below, in addition to other duties as assigned:</p><p style='margin: 0px'>\r\n1. Provide excellent customer service by assisting customers with their shopping needs, answering customer inquiries, and resolving customer complaints.\r\n2. Complete customer transactions on the cash register.\r\n3. Reconcile cash register drawers at the end of the shift.\r\n4. Ensure the appearance of the store is pleasing to the customer and meets the requirements of the corporate office, including all housekeeping tasks.\r\n5. Stock store shelves and end-caps with merchandise when it is delivered to the store.\r\n6. Ensure the proper identification is produced when selling alcohol, tobacco, and lottery tickets, if applicable.\r\n7. Assist with the operation of the One-hour Photo department, if applicable.\r\n8. Build displays of merchandise and complete new plan-o-grams sent from the corporate offices.\r\n9. Complete inventory counts and order merchandise based on the results.\r\n10. Put up signs that identify items on sale in weekly advertisements and take down this signage when the sale is over.\r\n11. Assist with price markdowns and changes for merchandise on the shelves.</p>\r\n\r\n<strong>Experience / Requirements:</strong>\r\n\r\n<p style='margin: 0px'><strong>Education and/or Experience</strong>\r\nNo prior experience or training is required.</p>"
Java Developer,"<p><b>Infosys</b><span> is currently searching for a <b>Java Developer </b>to join their team in <b>Fremont, CA.</b>&nbsp; Infosys is the business critical technology partner for the world&rsquo;s most successful organizations. As a global leader in Business Transformation, Infosys provides strategic business consulting, technology, engineering and outsourcing services to help clients leverage technology and create impactful and measurable business value for every IT investment.&nbsp; </span></p>\r<p><span>&nbsp;</span></p>\r<p><span style=""text-decoration: underline"">THIS POSITION IS LOCATED IN FREMONT, CA.&nbsp; RELOCATION TO FREMONT, CA, IS REQUIRED.&nbsp; RELOCATION ASSISTANCE IS AVAILABLE FOR QUALIFIED CANDIDATES.</span></p>\r<p><b><span>&nbsp;</span></b></p>\r<p><b><span>POSITION RESPONSIBILITIES:</span></b></p>\r<ul>\r    <li>Participate in requirement elicitation process defined in the project management plan to identify requirement gaps/issues (both functional and non-functional) in order to come up with a comprehensive requirement document\r    <li>Participate in requirement elicitation process defined in the project management plan to identify requirement gaps/issues (both functional and non-functional) in order to come up with a comprehensive requirement document\r    <li>Perform high and Low level design , provides pseudo codes, Implements the prototypes and does design reviews in order to deliver design documents as per customer requirements\r    <li>Mentor the team in Technical Competencies and provides performance feedback of the individual team member to the Project Manager in order to manage performance\r    <li>Interface with the customer for issue resolution, provide status updates, Build customer confidence in team&rsquo;s ability to deliver in order to support high customer satisfaction </li>\r</ul>"
Physical Therapist,"<strong>Physical Therapist:</strong><span>?? </span>Sheboygana??Kohler.<span>?? </span>Full- time and Part-time positions with orthopedic case load.<span>?? </span>Work with a team of varied professionals with our national based Industrial Ergonomic program.<span>?? </span>Training and flexible schedule available.???? <br />\r<p><span><br />\r<br />\r<br />\r<br />\r<br />\r<br />\rKeywords: physical therapy, manual therapy, orthopedic, PT, P.T.,?? acute care, rehabilitation<br />\r</span></p>"
Maintenance Technician,"Maintenance Technician for a Full Time position to travel throughout Citrus and Marion Counties.?? Must have basic computer skills and possess a valid Florida Drivera??s License.?? Company Vehicle will be provided.?? Competitive salary, excellent benefits, and 401K.?? Please send resume to resumes4227@yahoo.com."
Financial Analyst,"<b>Responsibilities:</b> Job Description:\r\n<UL><LI>Perform company valuation on prospective & current counterparties for our investment services client</li>\r\n<li>Analyze financial statements and interpret key ratios and trends and benchmark financial performance within appropriate industries</li>\r\n<li>Perform market and economic research</li>\r\n<li>Monitor performance hurdles on credit facilities and liquidity and capital resources</li>\r\n<li>Review daily A/R Summary Report to ensure exposure is within approved credit limits</li>\r\n<li>Analyze historical A/R trend for individual counterparty to ensure sufficient credit limit upon annual renewal</li>\r\n<li>Communicate with traders/originators as required to enforce credit limits</li>\r\n<li>Open communication with Traders and counterparties to acquire the proper guaranty amount to satisfy trading activities</li>\r\n<li>Maintain a margin reporting system that enables the Credit-Risk Group to effectively manage collateral activities such as exposure forecasting, cash movements, and P/L analysis in relation to interest</li>\r\n<li>Perform ad hoc analysis for the Credit Manager and for the Senior Management as required</li>\r\n</ul>\r\n\r\nJob Ref#: 2312~WQG~1139497P1~99"
Project Manager,"The Account Development Project Manager (PM) is a neutral comprehensive single point of contact for all internal and external stakeholders on elected Major Accounts and elected Local Key Accounts. The PM works in tandem with the Account Manager to implement business growth projects such as new site rollout, creative concepts, assist in risk mitigation and provide a strong support base to their assigned client base and to their partnered Account Manager. Project Managers coordinate account operations directly with all department touch points within Muzak and Mood Media. This includes Voice, Touch, Media, Administration, Central Operations, Field Operations and Prosound/Design. The PM is responsible for installation and service reporting to ensure we are executing on agreed terms with the client (SLA commitments, turnaround times, etc). The role requires a high level of Muzak Company Operations knowledge in addition to strong internal relationships with the goal to streamline implementation and resolution for the client. </P>\r\n??</P>\r\nDUTIES AND RESPONSIBILITIES:</B></P>\r\n\r\na?ก้???????????????? Account Growth</P>\r\n\r\na?ก้???????????????? Risk Management</P>\r\n\r\na?ก้???????????????? Change Management</P>\r\n\r\na?ก้???????????????? Resource Allocation</P>\r\n\r\na?ก้???????????????? Reporting/Metrics</P>\r\n\r\na?ก้???????????????? Financial Expectations</P>\r\n??</P>\r\nMuzak LLC is an Equal Opportunity Employer </P>"
Maintenance Technician,"<p><b><span>Maintenance Technician (Shift 7pm-7am) a?? Charlotte, NC </span></b></p>\r<p><b></b>&nbsp;</p>\r<p><b><span>Duties:</span></b></p>\r<p><span>Maintenance Planning</span></p>\r<ul>\r    <li><span>Ensures the Maintenance Department supports the needs of production by keeping all production and facility equipment in proper working condition.</span>\r    <li><span>Execute planned electrical and/or mechanical maintenance work packages for preventive maintenance on production and facility equipment.</span>\r    <li><span>Good computer skills to include Microsoft Office.</span>\r    <li><span>Manage repair and maintenance of spare production equipment assemblya??s.?? Includes repairing and maintaining equipment sub-assemblya??s to maximize weaving loom quality and efficiency.</span> </li>\r</ul>\r<p>&nbsp;</p>\r<p><span>Troubleshooting/Problem Resolution</span></p>\r<ul>\r    <li><span>Perform diagnostic evaluation on electrical and mechanical equipment and make repairs when needed.??Ensures that repairs are performed in the shortest amount of time possible to maintain the highest level of operational readiness.???? </span>\r    <li><span>Strong assessment and troubleshooting skills (mechanical, electrical, and process) with demonstrated and proven experience and background.</span>\r    <li><span>Interact with all levels of personnel to analyze and solve problems related to production equipment.</span> </li>\r</ul>\r<p>&nbsp;</p>\r<p><span>Purchasing</span></p>\r<ul>\r    <li><span>Ensures the cost and inventory of spare parts is adequate to support good equipment reliability.</span>\r    <li><span>Originate requisitions for materials required for scheduled and unscheduled maintenance of the equipment.</span>\r    <li><span>Manage the location of parts required to complete proper maintenance and repair needs.</span> </li>\r</ul>\r<p>&nbsp;</p>\r<p><b><span>Requirements:</span></b></p>\r<ul>\r    <li><span>Preferred: 4+ years experience in maintenance of weaving looms. Hydraulics, pneumatics and PLC experience.</span>\r    <li><span>Demonstrated experience in electrical and mechanical troubleshooting of weaving looms, warpers, tenterframes and/or screw type air compressors.</span>\r    <li><span>Excellent PC and communication skills.</span>\r    <li><span>Ability to work within maintenance and production teams to prioritize emergency maintenance needs. </span>\r    <li><span>Must be able to be self-directed to complete planned and unplanned tasks.</span>\r    <li><span>Ability to read and interpret documents such as safety rules, operating and maintenance instructions, schematics and procedure manuals.</span>\r    <li><span>Ability to write/document procedures, reports and correspondences.</span>\r    <li><span>Ability to work day or night shift.?? Currently, this position will be a night shift position.</span> </li>\r</ul>\r<p style=""text-align: justify"">&nbsp;</p>\r<p><b><span>Compensation Package</span></b><span>:</span></p>\r<p><span>The company provides a generous benefit package including profit sharing.</span></p>\r<p><span>E-mail your resume with salary requirements to hr_mfg@barrday.com.</span></p>\r<p style=""text-align: justify"">&nbsp;</p>"
Sales Representative,"<p><span>PSI, founded in 1976, has grown through the years to its current position of being a dominant force in the corrugated packaging and packaging supplies marketplace for the Mid-Atlantic Regions.?? PSI success is based on product innovation original design concepts, product quality, exceptional customer service, state-of-the-art equipment and employee involvement.</span></p>\r<p><span>Currently, PSI has an opening for a Sales Representative in the??Baltimore, MD??area.</span></p>\r<p><span>Essential duties and responsibilities to include, but not limited to:</span></p>\r<ul>\r    <li>Develop new, profitable accounts.</li>\r    <li>Sell and service existing accounts/maintaining consistent contact.</li>\r    <li>Implement changes when and where needed to make our customer service the finest in the industry.</li>\r    <li>Confirm design information.</li>\r    <li>Provide proposals/presentations.</li>\r    <li>Ensure customer specs and expectations are met.</li>\r    <li>Follow-up on past-due accounts.</li>\r    <li>Assist in preparing annual sales forecasts.</li>\r    <li>Completion and processing of all paperwork.</li>\r</ul>"
Financial Analyst,"<b>Responsibilities:</b> Our client in the entertainment industry seeks a Financial Analyst whose responsibilities ensure accurate reflection of revenue and subscriber information reported accurately manage all financial and contractual aspects (i.e. revenue, marketing expense and budget process) of several key accounts and/or a diversified account portfolio for a sales zone. In addition, the Analyst actively participates within an empowered, self-directed, and cross-functional team environment. This position is located in New York, New York.\r\n\r\nMain Duties:\r\n<ul><li>Oversee all financial aspects of account portfolio in order to achieve established financial fundamentals and maintain integrity of the information in customer database</li>\r\n<li>Demonstrate cross-functional expertise in accrual based revenue and expense accounting, billing, accounts receivable, cash management, and collections</li>\r\n<li>Provide timely and appropriate reporting and ad-hoc analysis for field sales on an as-needed basis</li>\r\n<li>Develop payment templates and reports that reflect the terms and conditions of current contracts and translate complex deal points into the billing system</li>\r\n<li>Act as integral part of contract negotiations through the development of complex financial models and contract proposals</li>\r\n<li>Work closely with Sales to identify risks and opportunities of proposals and participate in meetings with affiliates</li>\r\n<li>Prepare annual revenue budgets and forecasts for a portfolio of accounts</li>\r\n<li>Perform monthly variance analysis of actuals to estimates in order to effectively adjust quarterly forecasts</li>\r\n<li>Communicate forecast variance explanations to senior management</li>\r\n<li>Work with Sales teams in managing the expense budget process</li>\r\n<li>Review and analyze the marketing expenses of several key accounts on a monthly basis and prepare monthly expense variance explanations to Business Operations</li>\r\n<li>Develop and maintain exceptional business relationships</li>\r\n</ul>\r\n\r\nJob Ref#: 2312~AQG~1137149T1~99"
Financial Analyst,"<p>Financial Analysts in this role use highly complex and detailed Excel models to analyze, monitor, track, and forecast performance and the effectiveness of strategic initiatives supporting management in the decision making process.<p><p>&nbsp;</p></p></p>  \r\n <p> \r\nAs a Financial Analyst you will develop short term and extended financial forecasts including:<p>Development of integrated cash flow.\r\nIncome statements.\r\nBalance sheet and capital project modeling.  \r\nModeling of multiple funding strategies and corporate structures\r\nUnderstand the impact of changing KPI's on financial operating results.\r\nBe comfortable working with both management based reporting and GAAP based reporting\r\n \r\n Responsibilities:\r\nThe maintenance and development of extremely complex Excel models used for forecasting and budgeting. \r\nUtilize Microsoft Excel heavily, in combination with company financial databases. \r\nIncorporate complex financial models into executive level summaries and analysis for presentations and review purposes.\r\n </p></p><p> <p>The qualifications for this job are as follows:\r\nBachelor degree in Accounting, Finance or related field\r\nMBA from a top tier school\r\nExpert with Microsoft Excel\r\nMust possess strong analytical & writing skills\r\nFour years work experience with Excel modeling and analysis is preferred\r\nBackground in accounting or finance is preferred\r\n </p>\r\n  </p>"
Project Manager,"Project Manager Job  \r\n<p>National Power Systems construction company has an immediate need for two Project Managers - one Project Manager position will be located in Fort Meyers, FL and the other in Georgetown, TX.  The candidates selected for the FL and TX positions will have 6 months of training in Central Minnesota prior to working out of the FL and TX offices or just move to the central MN office permanently.  Company is looking for strong Project Managers experienced with construction of high voltage substations. You will contribute to critical construction projects for a national company.  Direct hire positions in Minnesota, Florida, and Texas.  </p><p><b>Responsibilities</b></p><ul><li>Estimating projects, ordering material, contract review, pricing heavy equipment, customizing job books and files</li><li>Creating new programs for the bidding process, time keeping, safety audits/reports, finding and contracting subcontractors, scheduling projects with Excel and Microsoft Project</li><li>Creating and tracking change orders, billing and closeout, QA/QC documentation creation, reconstruction of company procedures, redesigning of safety documents, trouble shooting blue prints, assisting in the design of EPC contracts</li><li>Assisting in the redesign of substations, material take offs</li><li>Manage substation projects simultaneously</li></ul><p><b>Requirements</b></p><ul><li>Demonstrated electrical substation construction estimating experience</li><li>Proficient with Microsoft Excel, Word & MS Project</li><li>Experience creating schedules</li><li>Experience with manpower loading</li></ul><p><b>Benefits</b></p><ul><li>Company offers competitive salary and benefit package coupled with relocation assistance for qualified candidates</li></ul> \r\n\r\n  Keywords: estimator, substation Project Manager Job"
Maintenance Technician,"<DIV>\r<P><B>Summary</B> Performs the regular and recurring maintenance, installation, and repair or machinery, equipment and general maintenance of facility<SPAN>, following company policies, quality system procedures, Product Specifications, mechanical drawings, blueprints and test plans. Participates in problem solving efforts in his/her work area.?? Perform work with minimal supervision using general instructions.???? Pay DOE<B></B></SPAN></P>\r</DIV>\r<P><B></B>??</P>\r<P><B>Essential Functions:?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????? </B></P>\r<UL>\r    <LI><SPAN>Performs preventive maintenance (PM's) for facility and equipment</SPAN> </LI>\r</UL>\r<UL>\r    <LI><SPAN>Inspects, adjust and replaces necessary components and parts on equipment</SPAN> </LI>\r</UL>\r<UL>\r    <LI><SPAN>Performs fabrication tasks using a variety of welding and cutting tools and equipment</SPAN> </LI>\r</UL>\r<UL>\r    <LI><SPAN>Performs electrical, carpentry repair work and painting</SPAN> </LI>\r</UL>\r<UL>\r    <LI><SPAN>Performs maintenance on CNC machines and related equipment</SPAN> </LI>\r</UL>\r<P><B></B>??</P>\r<P><B>Secondary Responsibilities:</B><B><SPAN>?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????? </SPAN></B></P>\r<UL>\r    <LI><SPAN>Continually improve 5S+1 program (Safety & Housekeeping)</SPAN> </LI>\r</UL>\r<UL>\r    <LI><SPAN>Participate in continually improving work processes.</SPAN> </LI>\r</UL>\r<UL>\r    <LI><SPAN>Preventive Maintenance</SPAN> </LI>\r</UL>\r<UL>\r    <LI><SPAN>Assist other team members as directed, including training and assisting less experienced coworkers</SPAN> </LI>\r</UL>\r<UL>\r    <LI><SPAN>Compliance with safety programs within his/her area</SPAN> </LI>\r</UL>\r<UL>\r    <LI><SPAN>Work overtime as required</SPAN>\r    <LI><SPAN>Responds to emergency maintenance calls as required</SPAN>\r    <LI><SPAN>Perform other duties as assigned.</SPAN> </LI>\r</UL>\r<P>??</P>\r<P><B>Supervisory Responsibilities:</B></P>\r<UL>\r    <LI><SPAN>None</SPAN> </LI>\r</UL>\r<P><B></B>??</P>"
